,ServiceProvider,TestType,LSA,month,DataSpeed,RxLevel
3007,JIO,download,Karnataka,2018-12-01,19928.74140912038,-85.7108277501621
3008,JIO,download,Karnataka,2019-01-01,15371.05728415413,-90.12281063259839
3009,JIO,download,Karnataka,2019-02-01,29549.10000630557,-78.86398890220065
3010,JIO,download,Karnataka,2019-03-01,28175.69102381437,-76.7426216161205
3011,JIO,download,Karnataka,2019-04-01,34393.977081496916,-76.23615674332879
3012,JIO,download,Karnataka,2019-05-01,20981.34829329962,-82.18735777496839
3013,JIO,download,Karnataka,2019-06-01,19062.050654142906,-88.89142345968914
3014,JIO,download,Karnataka,2019-07-01,29519.94586869138,-80.70647610540419
3015,JIO,download,Karnataka,2019-08-01,17862.79955114576,-89.07252539570045
3016,JIO,download,Karnataka,2019-09-01,11027.874805840323,-92.84420627524077
3017,JIO,download,Karnataka,2019-10-01,32043.947678018576,-84.01836945304437
3018,JIO,download,Karnataka,2019-11-01,43676.109856428455,-83.99935473463462
3019,JIO,download,Karnataka,2019-12-01,21846.75578583765,-91.0887737478411
3020,JIO,download,Karnataka,2020-01-01,23702.54571927781,-82.53581828771112
3021,JIO,download,Karnataka,2020-02-01,18442.167770419426,-88.38315988647115
3022,JIO,download,Karnataka,2020-03-01,15121.474014561889,-88.9241777554607
3023,JIO,download,Karnataka,2020-04-01,9010.449152542373,-91.82687651331719
3024,JIO,download,Karnataka,2020-05-01,6603.463459419758,-92.42306279838414
3025,JIO,download,Karnataka,2020-06-01,8155.3267270668175,-90.35758776896942
3026,JIO,download,Karnataka,2020-07-01,8426.189226204064,-89.00114129194247
3027,JIO,download,Karnataka,2020-08-01,11200.093913043478,-87.72108695652175
3028,JIO,download,Karnataka,2020-09-01,12300.022047832586,-86.41068759342302
3029,JIO,download,Karnataka,2020-10-01,20744.940980419386,-81.78141924732677
3030,JIO,download,Karnataka,2020-11-01,15910.968800554656,-82.29027039519298
3031,JIO,download,Karnataka,2020-12-01,10381.139008106818,-84.93371483071054
3032,JIO,download,Kerala,2018-09-01,28679.71979890581,-81.99075853910986
3033,JIO,download,Kerala,2018-10-01,21284.376693074366,-88.88493483260925
3034,JIO,download,Kerala,2018-11-01,27170.106345115364,-84.74067255768287
3035,JIO,download,Kerala,2018-12-01,25779.93728360088,-86.13101983002832
3036,JIO,download,Kerala,2019-01-01,27162.469465884533,-81.16011114541526
3037,JIO,download,Kerala,2019-02-01,26730.810321586752,-83.28660376147378
3038,JIO,download,Kerala,2019-03-01,30139.25959911493,-83.45145125601978
3039,JIO,download,Kerala,2019-04-01,31392.13592639063,-83.65069008782936
3040,JIO,download,Kerala,2019-05-01,15586.798324742267,-95.75225515463917
3041,JIO,download,Kerala,2019-06-01,22556.596711380356,-89.44612721765469
3042,JIO,download,Kerala,2019-07-01,23493.859833281876,-92.13532983431101
3043,JIO,download,Kerala,2019-08-01,16723.76185588175,-92.6835352083761
3044,JIO,download,Kerala,2019-09-01,12397.853607214429,-98.75410821643287
3045,JIO,download,Kerala,2019-10-01,10053.70542635659,-99.77239448751077
3046,JIO,download,Kerala,2019-11-01,21003.961436522663,-93.57063344818447
3047,JIO,download,Kerala,2019-12-01,15253.358857142857,-96.64669387755102
3048,JIO,download,Kerala,2020-01-01,14038.760459687555,-93.46615191237206
3049,JIO,download,Kerala,2020-02-01,16703.118505545826,-92.10245183887916
3050,JIO,download,Kerala,2020-03-01,13825.886940749697,-93.44135429262394
3051,JIO,download,Kerala,2020-04-01,5680.260748407643,-97.17356687898089
3052,JIO,download,Kerala,2020-05-01,7069.506296222266,-97.72676394163501
3053,JIO,download,Kerala,2020-06-01,9641.097005208334,-94.418359375
3054,JIO,download,Kerala,2020-07-01,12987.444552186178,-89.34599788434414
3055,JIO,download,Kerala,2020-08-01,22676.500086028907,-87.20586717136958
3056,JIO,download,Kerala,2020-09-01,18307.350186727952,-87.31150052666858
3057,JIO,download,Kerala,2020-10-01,15287.100509952295,-87.82373745681855
3058,JIO,download,Kerala,2020-11-01,11439.741372684652,-88.78610406579048
3059,JIO,download,Kerala,2020-12-01,8607.896085238835,-89.60361546749671
3060,JIO,download,Kolkata,2018-09-01,27531.00764674206,-79.52611739364566
3061,JIO,download,Kolkata,2018-10-01,24492.95915729611,-80.5334108827711
3062,JIO,download,Kolkata,2018-11-01,17310.854494084408,-86.58431926540703
3063,JIO,download,Kolkata,2018-12-01,29915.85264698707,-78.5019516955355
3064,JIO,download,Kolkata,2019-01-01,23642.474641609446,-85.00072280448138
3065,JIO,download,Kolkata,2019-02-01,22664.60679431748,-82.57035206917851
3066,JIO,download,Kolkata,2019-03-01,18557.571237636996,-86.14595028067362
3067,JIO,download,Kolkata,2019-04-01,23090.722943722943,-86.66233766233766
3068,JIO,download,Kolkata,2019-05-01,22518.711555959962,-80.29626933575979
3069,JIO,download,Kolkata,2019-06-01,8566.573700954401,-92.82449628844114
3070,JIO,download,Kolkata,2019-07-01,18204.337600347146,-87.90540247342156
3071,JIO,download,Kolkata,2019-08-01,26746.97723463687,-83.3840782122905
3072,JIO,download,Kolkata,2019-09-01,32037.213211540602,-82.57892391667595
3073,JIO,download,Kolkata,2019-10-01,27269.033802816903,-87.48247261345853
3074,JIO,download,Kolkata,2019-11-01,33471.76297840091,-85.518757104964
3075,JIO,download,Kolkata,2019-12-01,29315.93653066094,-87.05511811023622
3076,JIO,download,Kolkata,2020-01-01,28571.5260815822,-87.35352286773795
3077,JIO,download,Kolkata,2020-02-01,20859.850723140495,-87.6069214876033
3078,JIO,download,Kolkata,2020-03-01,6685.915603532875,-91.25171736997056
3079,JIO,download,Kolkata,2020-04-01,22665.575552282768,-87.59558173784978
3080,JIO,download,Kolkata,2020-05-01,27353.61426051902,-85.29226505416982
3081,JIO,download,Kolkata,2020-06-01,24441.095310136156,-80.50105900151286
3082,JIO,download,Kolkata,2020-07-01,36654.22446068818,-78.10697093956142
3083,JIO,download,Kolkata,2020-08-01,24343.11259605747,-81.54994988306048
3084,JIO,download,Kolkata,2020-09-01,45689.89587671804,-77.11536859641816
3085,JIO,download,Kolkata,2020-10-01,7153.671806167401,-81.53700440528634
3086,JIO,download,Kolkata,2020-11-01,9084.590075512406,-80.56742179072276
3087,JIO,download,Kolkata,2020-12-01,8926.410535876475,-80.6158038147139
3088,JIO,download,Madhya Pradesh,2018-09-01,24825.797626562304,-86.37589950763793
3089,JIO,download,Madhya Pradesh,2018-10-01,17459.755167622025,-88.40976202883446
3090,JIO,download,Madhya Pradesh,2018-11-01,16407.707867372963,-89.00765155974102
3091,JIO,download,Madhya Pradesh,2018-12-01,26866.246888688034,-84.11291107557533
3092,JIO,download,Madhya Pradesh,2019-01-01,23835.738433348604,-85.18873110398535
3093,JIO,download,Madhya Pradesh,2019-02-01,28825.775618805837,-79.71161450959332
3094,JIO,download,Madhya Pradesh,2019-03-01,20045.709705186142,-85.87576214044904
3095,JIO,download,Madhya Pradesh,2019-04-01,18327.06981208325,-87.10173772479288
3096,JIO,download,Madhya Pradesh,2019-05-01,13966.772329246935,-89.41841798015179
3097,JIO,download,Madhya Pradesh,2019-06-01,13112.868025392583,-91.16817017485243
3098,JIO,download,Madhya Pradesh,2019-07-01,14875.258639773705,-90.26946255073177
3099,JIO,download,Madhya Pradesh,2019-08-01,20605.858303039677,-85.01059633382319
3100,JIO,download,Madhya Pradesh,2019-09-01,16990.034917458728,-87.97318659329665
3101,JIO,download,Madhya Pradesh,2019-10-01,6444.575302138209,-95.33328168577626
3102,JIO,download,Madhya Pradesh,2019-11-01,20964.035676563784,-79.79638540077455
3103,JIO,download,Madhya Pradesh,2019-12-01,18467.55609612266,-91.50538109980835
3104,JIO,download,Madhya Pradesh,2020-01-01,22967.889396067414,-85.41654962546816
3105,JIO,download,Madhya Pradesh,2020-02-01,28713.584521384928,-80.73896809232858
